"Namn","Pris","Volym","Varugrupp","Typ","Stil","PrisPerLiter","Producent","Ursprunglandnamn","Alkoholhalt","year","SortimentText"
"Midas Golden Pilsner",26.7,330,"Öl","Ljus lager","Modern stil",80.91,"Imperiebryggeriet AB","Sverige","4.90%",2015,"Övrigt sortiment"
"Schlappeseppel Specialität",27.1,330,"Öl","Mellanmörk lager","Märzen och wienerstil",82.12,"Schlappeseppel GmbH","Tyskland","5.60%",2015,"Övrigt sortiment"
"Schlappeseppel - Dunkel",21.1,330,"Öl","Mörk lager","Dunkel",63.94,"Schlappeseppel GmbH","Tyskland","5.20%",2015,"Övrigt sortiment"
"Schlappeseppel - Hefe Weissbier",25.2,500,"Öl","Veteöl","Hefeweizen",50.4,"Schlappeseppel GmbH","Tyskland","5.50%",2015,"Övrigt sortiment"
"Schlappeseppel - Pils",20.1,330,"Öl","Ljus lager","Pilsner - tysk stil",60.91,"Schlappeseppel GmbH","Tyskland","5.10%",2015,"Övrigt sortiment"
"Schlappeseppel - Kellerbier",21.1,330,"Öl","Ljus lager","Zwickel, keller- och landbier",63.94,"Schlappeseppel GmbH","Tyskland","5.50%",2015,"Övrigt sortiment"
"Valmiermuiza - Alus",28.4,500,"Öl","Mellanmörk lager","Märzen och wienerstil",56.8,"Valmiermuiza","Lettland","5.20%",2015,"Övrigt sortiment"
"Harviestoun Old Engine Oil - Black Ale",25.7,330,"Öl","Ale brittisk-amerikansk stil","Old ale",77.88,"Harviestoun Brewery","Storbritannien","6.00%",2015,"Övrigt sortiment"
"Kråkudden - Ljus Lager",26.2,330,"Öl","Ljus lager","Dortmunder och helles",79.39,"Roslags Näsby Bryggeri","Sverige","5.00%",2015,"Lokalt och småskaligt"
"Halmstad Brygghus - Brogatans Ale",23.9,330,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",72.42,"Halmstad Brygghus","Sverige","5.80%",2015,"Lokalt och småskaligt"
"Spin Back - India Pale Ale",28.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",87.58,"Beer Studio","Sverige","7.30%",2015,"Lokalt och småskaligt"
"This Ale Is India Pale",27.2,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",82.42,"Skelderwikens Brygghus AB","Sverige","5.80%",2015,"Lokalt och småskaligt"
"Halmstad Brygghus - Vallgatans Ljusa",21.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",66.36,"Halmstad Brygghus","Sverige","5.50%",2015,"Lokalt och småskaligt"
"Tyska Eken - Weisse",32.5,500,"Öl","Veteöl","Hefeweizen",65,"Tyska Eken, Eks Tyska Bryggeri","Sverige","5.20%",2015,"Lokalt och småskaligt"
"Tyska Eken Helles",22.4,330,"Öl","Ljus lager","Dortmunder och helles",67.88,"Tyska Eken, Eks Tyska Bryggeri","Sverige","4.90%",2015,"Lokalt och småskaligt"
"Fjäderholmarnas Monkey Business - American Pale Ale",23.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",72.42,"Fjäderholmarnas Bryggeri","Sverige","5.20%",2015,"Lokalt och småskaligt"
"Fjäderholmarnas Libertas IPA - India Pale Ale",24.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",75.46,"Fjäderholmarnas Bryggeri","Sverige","6.00%",2015,"Lokalt och småskaligt"
"White IPA",27.5,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",83.33,"Helsingborgs Bryggeri AB","Sverige","5.50%",2015,"Lokalt och småskaligt"
"Klaura",23.7,330,"Öl","Mellanmörk lager","Märzen och wienerstil",71.82,"Restaurang Skeppsgossen","Sverige","5.10%",2015,"Lokalt och småskaligt"
"Pilimausan",20.7,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",62.73,"Restaurang Skeppsgossen","Sverige","4.90%",2015,"Lokalt och småskaligt"
"South Plains - Burning Witches Brew",21.8,330,"Öl","Ale brittisk-amerikansk stil","Black IPA",66.06,"South Plains Brewing Company","Sverige","7.10%",2015,"Lokalt och småskaligt"
"Värmdö Bryggeri - Grinda Golden Ale",22.2,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",67.27,"Värmdö Bryggeri","Sverige","5.20%",2015,"Lokalt och småskaligt"
"Engelholms Pacific Pilsner",21,330,"Öl","Ljus lager","Modern stil",63.64,"Engelholms Bryggeri","Sverige","5.00%",2015,"Lokalt och småskaligt"
"Södra Stout",39.7,330,"Öl","Porter och stout","Imperial porter och stout",120.3,"Södra Maltfabriken Brewery","Sverige","10.00%",2015,"Lokalt och småskaligt"
"Tingvalla - Amarillo",23.9,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",72.42,"Tingvalla Hantverks AB","Sverige","5.20%",2015,"Övrigt sortiment"
"Brasserie Dieu du Ciel - Solstice d'Hiver Barley Wine bottled 2013",46.3,341,"Öl","Ale brittisk-amerikansk stil","Barley wine",135.78,"Brasserie Dieu du Ciel","Kanada","10.20%",2015,"Övrigt sortiment"
"Schöfferhofer - Hefeweizen",16.9,330,"Öl","Veteöl","Hefeweizen",51.21,"Radeberger Gruppe KG","Tyskland","5.00%",2015,"Övrigt sortiment"
"Fuller's - Frontier",18.9,330,"Öl","Ljus lager","",57.27,"Fuller Smith & Turner","Storbritannien","4.50%",2015,"Övrigt sortiment"
"Piraat - Triple Hop",38.5,330,"Öl","Ale belgisk stil","Belgisk ljus ale",116.67,"Brouwerij Van Steenberge","Belgien","10.50%",2015,"Övrigt sortiment"
"Ivanhoe - Pale Ale",34.7,500,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",69.4,"Ridgeway Brewing","Storbritannien","5.20%",2015,"Övrigt sortiment"
"Criminally Bad Elf",46.4,500,"Öl","Ale brittisk-amerikansk stil","Barley wine",92.8,"Ridgeway Brewing","Storbritannien","10.50%",2015,"Övrigt sortiment"
"Insanely Bad Elf",34.4,330,"Öl","Ale brittisk-amerikansk stil","Barley wine",104.24,"Ridgeway Brewing","Storbritannien","11.20%",2015,"Övrigt sortiment"
"Litovel - Classic",10.9,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",33.03,"Litovel","Tjeckien","4.00%",2015,"Övrigt sortiment"
"Mohawk - Black Rocket Porter",26.7,330,"Öl","Porter och stout","Torr porter och stout",80.91,"Mohawk Brewing Company","Sverige","5.50%",2016,"Lokalt och småskaligt"
"Mohawk - Session IPA",24.7,330,"Öl","Ale brittisk-amerikansk stil","Session IPA",74.85,"Mohawk Brewing Company","Sverige","4.50%",2016,"Lokalt och småskaligt"
"Mohawk - Extra IPA",28.4,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",86.06,"Mohawk Brewing Company","Sverige","7.40%",2015,"Lokalt och småskaligt"
"CRATE - Stout",21.8,330,"Öl","Porter och stout","Torr porter och stout",66.06,"CRATE Brewery","Storbritannien","5.70%",2015,"Övrigt sortiment"
"Sour To The People - Sour Beer",29.7,330,"Öl","Syrlig öl","Övrig syrlig öl",90,"By The Horns Brewing Co.","Storbritannien","4.80%",2015,"Övrigt sortiment"
"Költur That's What She Said - Amber Ale",26.9,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",81.52,"Brewing Költur","Sverige","5.60%",2015,"Lokalt och småskaligt"
"No Name Evölution - India Pale Ale",28.5,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",86.36,"Brewing Költur","Sverige","6.80%",2015,"Lokalt och småskaligt"
"Rådanäs Ekologiska Pilsner",24.9,330,"Öl","Ljus lager","Pilsner - tysk stil",75.46,"Rådanäs Bryggeri AB","Sverige","4.70%",2015,"Lokalt och småskaligt"
"Stallhagen - India Pale Ale",30.5,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",92.42,"Stallhagen","Finland","6.00%",2015,"Lokalt och småskaligt"
"Janne Shuffle - Lager",29.9,330,"Öl","Ljus lager","Modern stil",90.61,"Bryggverket","Sverige","5.10%",2015,"Lokalt och småskaligt"
"Helsinge - Porter",41.8,500,"Öl","Porter och stout","Imperial porter och stout",83.6,"Helsinge Ångbryggeri HB","Sverige","7.00%",2015,"Lokalt och småskaligt"
"S:t Eriks Capital IPA",21.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",66.36,"S:t Eriks Bryggeri","Sverige","6.40%",2015,"Övrigt sortiment"
"CAP Dont Break the Oat - Oatmeal Stout",25.9,330,"Öl","Porter och stout","Torr porter och stout",78.49,"CAP Brewery","Sverige","4.70%",2015,"Lokalt och småskaligt"
"Slussen - Extra Special Bitter",34.9,330,"Öl","Ale brittisk-amerikansk stil","Extra special bitter",105.76,"Macken Bryggeri","Sverige","5.20%",2015,"Lokalt och småskaligt"
"Ysta Caribbean - India Pale Ale Mango/Chili",31.7,330,"Öl","Annan öl","",96.06,"ÖsterlenBryggarna","Sverige","6.50%",2015,"Lokalt och småskaligt"
"Ysta 50/50",25.5,500,"Öl","Mellanmörk lager","Märzen och wienerstil",51,"ÖsterlenBryggarna","Sverige","5.00%",2015,"Lokalt och småskaligt"
"Bron - Pale Ale",22.8,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",69.09,"Åbro Bryggeri","Sverige","5.20%",2015,"Övrigt sortiment"
"Bron - Indian Pale Ale",22.8,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",69.09,"Åbro Bryggeri","Sverige","6.40%",2015,"Övrigt sortiment"
"Zeunerts Julöl",17.9,500,"Öl","Mellanmörk lager","Märzen och wienerstil",35.8,"Zeunerts Bryggeri","Sverige","5.10%",2015,"Övrigt sortiment"
"Kozel - Dark",16.8,500,"Öl","Mörk lager","Dunkel",33.6,"Pilsner Urquell","Tjeckien","3.80%",2015,"Övrigt sortiment"
"South Plains - Winter Ale",24,330,"Öl","Ale oklassificerat","",72.73,"South Plains Brewing Company","Sverige","6.00%",2015,"Lokalt och småskaligt"
"Double O - MC Federation Road Brand",21,330,"Öl","Ale brittisk-amerikansk stil","",63.64,"Coppersmith's AB","Sverige","5.20%",2015,"Övrigt sortiment"
"Dugges Black Currant",27.6,330,"Öl","Syrlig öl","Övrig syrlig öl",83.64,"Dugges Bryggeri AB","Sverige","4.50%",2015,"Ordinarie sortiment"
"Guinness - West Indies Porter",25.9,500,"Öl","Porter och stout","",51.8,"Guinness","Irland","6.00%",2015,"Övrigt sortiment"
"To Øl - Garden Of Eden",29.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",90.61,"To Øl","Internationellt märke","6.40%",2015,"Övrigt sortiment"
"Motörhead - Imperial Pale Lager",29.9,330,"Öl","Ljus lager","Imperial pils och india pale lager (IPL)",90.61,"The Nils Oscar Company","Sverige","6.20%",2015,"Övrigt sortiment"
"Liefmans - Goudenband",31.9,330,"Öl","Syrlig öl","Flamländsk röd och brun öl",96.67,"Liefmans Brouwerij","Belgien","8.00%",2015,"Övrigt sortiment"
"Sixes and Sevens - Pale Ale",23.8,330,"Öl","Ale oklassificerat","",72.12,"The Swedish Brewing Company AB","Sverige","5.40%",2015,"Övrigt sortiment"
"Liefmans - Kriek Brut",29.9,330,"Öl","Syrlig öl","Flamländsk röd och brun öl",90.61,"Liefmans Brouwerij","Belgien","6.00%",2015,"Övrigt sortiment"
"Sixes and Sevens - Pale Lager",22.8,330,"Öl","Ljus lager","",69.09,"The Swedish Brewing Company AB","Sverige","4.80%",2015,"Övrigt sortiment"
